Epoch,Num trials,Number correct,Time
0,8156,947,38.24630279140547
1,8156,2099,38.25413202820346
2,8156,2719,38.264188857749104
3,8156,3432,38.2756917309016
4,8156,4205,38.26708671962842
5,8156,4148,38.27174254693091
6,8156,4743,38.26904707541689
7,8156,4807,38.2770302798599
8,8156,4853,38.27320305304602
9,8156,4961,38.28162316605449
10,8156,5107,38.2768181078136
11,8156,4596,38.28456873493269
12,8156,4989,38.282604040112346
13,8156,5206,38.28842626558617
14,8156,5033,38.28788703121245
15,8156,5468,38.29069269821048
16,8156,5455,38.28954001329839
17,8156,5629,38.290949929039925
18,8156,5981,38.295018979813904
19,8156,6005,38.2949284450151
20,8156,6102,38.29257441079244
21,8156,6189,38.295532669872046
22,8156,6219,38.29543138900772
23,8156,6188,38.29166965186596
24,8156,5865,38.29609345505014
25,8156,6175,38.295188962016255
26,8156,5948,38.29404353396967
27,8156,6008,38.29662228981033
28,8156,6073,38.29411254497245
29,8156,6238,38.2903081481345
30,8156,6487,38.28805224597454
31,8156,6515,38.29472737107426
32,8156,6599,38.29278748901561
33,8156,6357,38.29431043425575
34,8156,6412,38.29195075016469
35,8156,6666,38.29356839694083
36,8156,6860,38.28996223118156
37,8156,6694,38.297905827872455
38,8156,6638,38.2950204317458
39,8156,6929,38.42668067291379
40,8156,6785,38.30191831709817
41,8156,6535,38.295019678771496
42,8156,6592,38.30296911811456
43,8156,6929,38.29954236280173
44,8156,6725,38.301180379930884
45,8156,6875,38.296094574034214
46,8156,6931,38.29453237121925
47,8156,7132,38.44702770188451
48,8156,7137,38.29749431088567
49,8156,7087,38.304284907877445
