Epoch,Num trials,Number correct,Time
0,8156,1064,68.4541543580126
1,8156,1949,68.66062221792527
2,8156,2582,68.73872988088988
3,8156,2058,68.7458733220119
4,8156,2086,68.67401786288247
5,8156,2891,68.65182631998323
6,8156,2939,68.662916112924
7,8156,3743,68.67556350794621
8,8156,3722,68.69287072913721
9,8156,3931,68.68656316306442
10,8156,4058,68.70219331607223
11,8156,4291,68.70325840800069
12,8156,4098,68.69115037797019
13,8156,4431,68.69013878004625
14,8156,5101,68.70322779216804
15,8156,5132,68.70885585597716
16,8156,4891,68.70642175897956
17,8156,4880,68.70347952097654
18,8156,5292,68.705197988078
19,8156,5515,68.70775524596684
20,8156,5404,68.70571049815044
21,8156,5393,68.70538029493764
22,8156,5399,68.70797008089721
23,8156,5339,68.71049822797067
24,8156,5276,68.70873244013637
25,8156,5184,68.71218019002117
26,8156,5570,68.69825645117089
27,8156,6024,68.70663841092028
28,8156,6115,68.70889840088785
29,8156,6226,68.71251723798923
30,8156,5976,68.71350114210509
31,8156,6147,68.71024791686796
32,8156,6319,68.71170530607924
33,8156,6301,68.71208715904504
34,8156,5764,68.71525422297418
35,8156,6215,68.72015741979703
36,8156,6411,68.72542006499134
37,8156,6270,68.72272365284152
38,8156,6149,68.72282229014672
39,8156,6474,68.72853427613154
40,8156,6165,68.73486060183495
41,8156,6388,68.72288490296341
42,8156,6626,68.72423853096552
43,8156,6527,68.71890201792121
44,8156,6512,68.72477383399382
45,8156,6669,68.72818722994998
46,8156,6542,68.73322408297099
47,8156,6443,68.72541106306016
48,8156,6563,68.72992107202299
49,8156,6306,68.72500268905424
